date,split,exercise,set no.,weight,reps
2022-01-06,shoulders_and_abs,military_press,1,'20 kg',10
2022-01-06,shoulders_and_abs,military_press,2,'35 kg',10
2022-01-06,shoulders_and_abs,military_press,3,'35 kg',8
2022-01-06,shoulders_and_abs,military_press,4,'35 kg',8
2022-01-06,shoulders_and_abs,cable_side_lateral,1,'16 kg',12
2022-01-06,shoulders_and_abs,cable_side_lateral,2,'16 kg',10
2022-01-06,shoulders_and_abs,cable_side_lateral,3,'16 kg',10
2022-01-06,shoulders_and_abs,cable_side_lateral,4,'16 kg',10
2022-01-06,shoulders_and_abs,dumbbell_side_lateral,1,'20 kg',12
2022-01-06,shoulders_and_abs,dumbbell_side_lateral,2,'20 kg',10
2022-01-06,shoulders_and_abs,dumbbell_side_lateral,3,'20 kg',10
2022-01-06,shoulders_and_abs,dumbbell_front_lateral_raise,1,'12 kg',10
2022-01-06,shoulders_and_abs,dumbbell_front_lateral_raise,2,'12 kg',10
2022-01-06,shoulders_and_abs,dumbbell_front_lateral_raise,3,'12 kg',10
2022-01-06,shoulders_and_abs,dumbbell_front_lateral_raise,4,'12 kg',10
2022-01-06,shoulders_and_abs,dumbbell_rear_lateral_raise,1,'12 kg',12
2022-01-06,shoulders_and_abs,dumbbell_rear_lateral_raise,2,'12 kg',8
2022-01-06,shoulders_and_abs,dumbbell_rear_lateral_raise,3,'12 kg',12
2022-01-06,shoulders_and_abs,barbell_shrug,1,'45 kg',12
2022-01-06,shoulders_and_abs,barbell_shrug,2,'45 kg',12
2022-01-06,shoulders_and_abs,barbell_shrug,3,'45 kg',12
2022-01-06,shoulders_and_abs,twisting_leg_raise,1,'0 kg',24
2022-01-06,shoulders_and_abs,twisting_leg_raise,2,'0 kg',20
2022-01-06,shoulders_and_abs,twisting_leg_raise,3,'0 kg',20
2022-01-06,shoulders_and_abs,swiss_ball_crunch,1,'0 kg',16
2022-01-06,shoulders_and_abs,swiss_ball_crunch,2,'0 kg',16
2022-01-06,shoulders_and_abs,swiss_ball_crunch,3,'0 kg',20
